Date,Campaign,Platform,Region,Impressions,Clicks,Cost,Conversions,Revenue,CTR,CPC,CPA,ROAS,Month,Quarter
2025-08-15,Back to School,Instagram Ads,North America,32662,1437,2333.15,36,2148.82,4.4,1.62,64.81,0.92,August 2025,Q3 2025
2025-08-15,Back to School,Instagram Ads,Europe,94651,3360,9132.59,162,5469.28,3.55,2.72,56.37,0.6,August 2025,Q3 2025
2025-08-16,Summer Sale 2024,Google Ads,North America,18110,697,1674.17,37,1651.74,3.85,2.4,45.25,0.99,August 2025,Q3 2025
2025-08-16,Summer Sale 2024,Google Ads,Europe,10206,276,155.54,7,424.53,2.7,0.56,22.22,2.73,August 2025,Q3 2025
2025-08-16,Summer Sale 2024,Facebook Ads,North America,60015,2127,2735.09,107,4579.95,3.54,1.29,25.56,1.67,August 2025,Q3 2025
2025-08-16,Summer Sale 2024,Facebook Ads,Europe,66044,2086,2101.96,159,7722.81,3.16,1.01,13.22,3.67,August 2025,Q3 2025
2025-08-16,Summer Sale 2024,Instagram Ads,North America,91734,1980,1788.05,150,7502.17,2.16,0.9,11.92,4.2,August 2025,Q3 2025
2025-08-16,Summer Sale 2024,Instagram Ads,Europe,12693,358,374.5,16,905.31,2.82,1.05,23.41,2.42,August 2025,Q3 2025
2025-08-16,Holiday Special,Google Ads,North America,52941,1671,4208.58,123,4671.47,3.16,2.52,34.22,1.11,August 2025,Q3 2025
2025-08-16,Holiday Special,Google Ads,Europe,76842,2081,5296.22,149,6216.78,2.71,2.55,35.55,1.17,August 2025,Q3 2025
2025-08-16,Holiday Special,Facebook Ads,North America,68053,2070,3195.1,68,2826.95,3.04,1.54,46.99,0.88,August 2025,Q3 2025
2025-08-16,Holiday Special,Facebook Ads,Europe,44766,749,784.14,40,1479.09,1.67,1.05,19.6,1.89,August 2025,Q3 2025
2025-08-16,Holiday Special,Instagram Ads,North America,64384,810,919.18,28,1564.28,1.26,1.13,32.83,1.7,August 2025,Q3 2025
2025-08-16,Holiday Special,Instagram Ads,Europe,77172,1650,977.16,93,5119.64,2.14,0.59,10.51,5.24,August 2025,Q3 2025
2025-08-16,Back to School,Google Ads,North America,10854,229,634.48,7,312.57,2.11,2.77,90.64,0.49,August 2025,Q3 2025
2025-08-16,Back to School,Google Ads,Europe,36309,714,1556.76,46,1532.41,1.97,2.18,33.84,0.98,August 2025,Q3 2025
2025-08-16,Back to School,Facebook Ads,North America,22688,887,1259.06,51,2594.3,3.91,1.42,24.69,2.06,August 2025,Q3 2025
2025-08-16,Back to School,Facebook Ads,Europe,90623,3800,3331.82,191,12778.77,4.19,0.88,17.44,3.84,August 2025,Q3 2025
2025-08-16,Back to School,Instagram Ads,North America,61663,717,1417.68,43,1938.93,1.16,1.98,32.97,1.37,August 2025,Q3 2025
2025-08-16,Back to School,Instagram Ads,Europe,21411,766,716.91,47,1943.2,3.58,0.94,15.25,2.71,August 2025,Q3 2025
2025-08-17,Summer Sale 2024,Google Ads,North America,81295,2496,6475.31,151,5530.25,3.07,2.59,42.88,0.85,August 2025,Q3 2025
2025-08-17,Summer Sale 2024,Google Ads,Europe,31918,1439,1647.45,85,4400.61,4.51,1.14,19.38,2.67,August 2025,Q3 2025
2025-08-17,Summer Sale 2024,Facebook Ads,North America,26371,822,908.01,21,642.59,3.12,1.1,43.24,0.71,August 2025,Q3 2025
2025-08-17,Summer Sale 2024,Facebook Ads,Europe,52642,2055,5636.4,150,8536.09,3.9,2.74,37.58,1.51,August 2025,Q3 2025
2025-08-17,Summer Sale 2024,Instagram Ads,North America,69040,2463,1749.59,73,3450.19,3.57,0.71,23.97,1.97,August 2025,Q3 2025
2025-08-17,Summer Sale 2024,Instagram Ads,Europe,58354,1452,4138.68,113,6042.56,2.49,2.85,36.63,1.46,August 2025,Q3 2025
2025-08-17,Holiday Special,Google Ads,North America,78497,1289,2412.79,79,2613.87,1.64,1.87,30.54,1.08,August 2025,Q3 2025
2025-08-17,Holiday Special,Google Ads,Europe,48467,944,1239.94,61,3145.5,1.95,1.31,20.33,2.54,August 2025,Q3 2025
2025-08-17,Holiday Special,Facebook Ads,North America,32399,1288,2965.43,49,2515.78,3.98,2.3,60.52,0.85,August 2025,Q3 2025
2025-08-17,Holiday Special,Facebook Ads,Europe,55525,1144,1269.81,89,6729.37,2.06,1.11,14.27,5.3,August 2025,Q3 2025
2025-08-17,Holiday Special,Instagram Ads,North America,13436,395,1092.27,18,1044.06,2.94,2.77,60.68,0.96,August 2025,Q3 2025
2025-08-17,Holiday Special,Instagram Ads,Europe,49790,1478,1460.42,93,2935.52,2.97,0.99,15.7,2.01,August 2025,Q3 2025
2025-08-17,Back to School,Google Ads,North America,55714,1831,4433.56,41,1840.25,3.29,2.42,108.14,0.42,August 2025,Q3 2025
2025-08-17,Back to School,Google Ads,Europe,92989,4332,6174.82,90,4221.54,4.66,1.43,68.61,0.68,August 2025,Q3 2025
2025-08-17,Back to School,Facebook Ads,North America,28711,666,1253.35,36,1278.17,2.32,1.88,34.82,1.02,August 2025,Q3 2025
2025-08-17,Back to School,Facebook Ads,Europe,60336,1368,1263.67,73,2849.26,2.27,0.92,17.31,2.25,August 2025,Q3 2025
2025-08-17,Back to School,Instagram Ads,North America,33093,1252,2410.29,32,1458.63,3.78,1.93,75.32,0.61,August 2025,Q3 2025
2025-08-17,Back to School,Instagram Ads,Europe,55017,2180,4888.74,135,4531.99,3.96,2.24,36.21,0.93,August 2025,Q3 2025
2025-08-18,Summer Sale 2024,Google Ads,North America,64748,1415,2192.47,50,1883.52,2.19,1.55,43.85,0.86,August 2025,Q3 2025
2025-08-18,Summer Sale 2024,Google Ads,Europe,99912,3508,3457.78,85,3991.04,3.51,0.99,40.68,1.15,August 2025,Q3 2025
2025-08-18,Summer Sale 2024,Facebook Ads,North America,80031,962,2613.31,20,587.89,1.2,2.72,130.67,0.22,August 2025,Q3 2025
2025-08-18,Summer Sale 2024,Facebook Ads,Europe,62921,1994,2425.41,110,7150.38,3.17,1.22,22.05,2.95,August 2025,Q3 2025
2025-08-18,Summer Sale 2024,Instagram Ads,North America,66661,1333,795.92,50,1254.23,2.0,0.6,15.92,1.58,August 2025,Q3 2025
2025-08-18,Summer Sale 2024,Instagram Ads,Europe,90135,3677,3822.43,210,10344.65,4.08,1.04,18.2,2.71,August 2025,Q3 2025
2025-08-18,Holiday Special,Google Ads,North America,97235,4247,4187.33,189,7058.19,4.37,0.99,22.16,1.69,August 2025,Q3 2025
2025-08-18,Holiday Special,Google Ads,Europe,27019,1042,627.98,45,2215.04,3.86,0.6,13.96,3.53,August 2025,Q3 2025
2025-08-18,Holiday Special,Facebook Ads,North America,89634,2470,1719.47,53,1975.94,2.76,0.7,32.44,1.15,August 2025,Q3 2025
2025-08-18,Holiday Special,Facebook Ads,Europe,76617,3571,5734.6,122,7516.79,4.66,1.61,47.0,1.31,August 2025,Q3 2025
2025-08-18,Holiday Special,Instagram Ads,North America,15237,587,1262.34,21,1390.65,3.85,2.15,60.11,1.1,August 2025,Q3 2025
2025-08-18,Holiday Special,Instagram Ads,Europe,69638,829,1587.61,24,1327.79,1.19,1.92,66.15,0.84,August 2025,Q3 2025
2025-08-18,Back to School,Google Ads,North America,82789,875,691.41,19,809.9,1.06,0.79,36.39,1.17,August 2025,Q3 2025
2025-08-18,Back to School,Google Ads,Europe,45247,1912,2611.33,91,5798.53,4.23,1.37,28.7,2.22,August 2025,Q3 2025
2025-08-18,Back to School,Facebook Ads,North America,36646,436,1252.57,31,1395.56,1.19,2.87,40.41,1.11,August 2025,Q3 2025
2025-08-18,Back to School,Facebook Ads,Europe,51975,1889,1713.96,45,2365.17,3.63,0.91,38.09,1.38,August 2025,Q3 2025
2025-08-18,Back to School,Instagram Ads,North America,40977,453,889.89,34,884.89,1.11,1.96,26.17,0.99,August 2025,Q3 2025
2025-08-18,Back to School,Instagram Ads,Europe,45195,684,1729.16,47,2716.85,1.51,2.53,36.79,1.57,August 2025,Q3 2025
2025-08-19,Summer Sale 2024,Google Ads,North America,48304,1741,1770.09,63,2491.63,3.6,1.02,28.1,1.41,August 2025,Q3 2025
2025-08-19,Summer Sale 2024,Google Ads,Europe,37350,479,621.47,33,1066.76,1.28,1.3,18.83,1.72,August 2025,Q3 2025
2025-08-19,Summer Sale 2024,Facebook Ads,North America,85353,2016,2321.9,100,3457.04,2.36,1.15,23.22,1.49,August 2025,Q3 2025
2025-08-19,Summer Sale 2024,Facebook Ads,Europe,21338,962,2248.85,65,3787.21,4.51,2.34,34.6,1.68,August 2025,Q3 2025
2025-08-19,Summer Sale 2024,Instagram Ads,North America,54425,1466,2816.63,79,3068.96,2.69,1.92,35.65,1.09,August 2025,Q3 2025
2025-08-19,Summer Sale 2024,Instagram Ads,Europe,80640,3310,4475.15,251,12255.83,4.1,1.35,17.83,2.74,August 2025,Q3 2025
2025-08-19,Holiday Special,Google Ads,North America,71476,1396,3070.66,89,3447.1,1.95,2.2,34.5,1.12,August 2025,Q3 2025
2025-08-19,Holiday Special,Google Ads,Europe,24397,728,1073.1,27,852.66,2.98,1.47,39.74,0.79,August 2025,Q3 2025
2025-08-19,Holiday Special,Facebook Ads,North America,49954,1277,673.1,94,3975.22,2.56,0.53,7.16,5.91,August 2025,Q3 2025
2025-08-19,Holiday Special,Facebook Ads,Europe,92637,3434,5859.44,170,6607.74,3.71,1.71,34.47,1.13,August 2025,Q3 2025
2025-08-19,Holiday Special,Instagram Ads,North America,18335,512,631.31,20,1131.62,2.79,1.23,31.57,1.79,August 2025,Q3 2025
2025-08-19,Holiday Special,Instagram Ads,Europe,70566,2910,2280.45,220,11641.66,4.12,0.78,10.37,5.1,August 2025,Q3 2025
2025-08-19,Back to School,Google Ads,North America,31689,389,728.92,18,754.36,1.23,1.87,40.5,1.03,August 2025,Q3 2025
2025-08-19,Back to School,Google Ads,Europe,16801,818,1816.02,57,3023.17,4.87,2.22,31.86,1.66,August 2025,Q3 2025
2025-08-19,Back to School,Facebook Ads,North America,82592,1159,823.2,71,2860.56,1.4,0.71,11.59,3.47,August 2025,Q3 2025
2025-08-19,Back to School,Facebook Ads,Europe,64693,3200,4594.17,135,6388.27,4.95,1.44,34.03,1.39,August 2025,Q3 2025
2025-08-19,Back to School,Instagram Ads,North America,67854,3142,6220.29,128,5550.25,4.63,1.98,48.6,0.89,August 2025,Q3 2025
2025-08-19,Back to School,Instagram Ads,Europe,36790,992,2743.76,26,1653.8,2.7,2.77,105.53,0.6,August 2025,Q3 2025
2025-08-20,Summer Sale 2024,Google Ads,North America,54482,1097,1659.77,59,3157.65,2.01,1.51,28.13,1.9,August 2025,Q3 2025
2025-08-20,Summer Sale 2024,Google Ads,Europe,35470,1275,3015.52,70,3687.84,3.59,2.37,43.08,1.22,August 2025,Q3 2025
2025-08-20,Summer Sale 2024,Facebook Ads,North America,71629,1862,3154.76,46,890.4,2.6,1.69,68.58,0.28,August 2025,Q3 2025
2025-08-20,Summer Sale 2024,Facebook Ads,Europe,77641,814,2380.7,18,1015.69,1.05,2.92,132.26,0.43,August 2025,Q3 2025
2025-08-20,Summer Sale 2024,Instagram Ads,North America,30559,950,2833.29,23,1143.93,3.11,2.98,123.19,0.4,August 2025,Q3 2025
2025-08-20,Summer Sale 2024,Instagram Ads,Europe,81726,2874,6435.95,135,6148.37,3.52,2.24,47.67,0.96,August 2025,Q3 2025
2025-08-20,Holiday Special,Google Ads,North America,78866,3631,2228.04,133,8897.44,4.6,0.61,16.75,3.99,August 2025,Q3 2025
2025-08-20,Holiday Special,Google Ads,Europe,39703,666,1410.0,28,1033.68,1.68,2.12,50.36,0.73,August 2025,Q3 2025
2025-08-20,Holiday Special,Facebook Ads,North America,41921,865,1211.75,30,1201.53,2.06,1.4,40.39,0.99,August 2025,Q3 2025
2025-08-20,Holiday Special,Facebook Ads,Europe,48088,1076,2727.11,65,2892.84,2.24,2.53,41.96,1.06,August 2025,Q3 2025
2025-08-20,Holiday Special,Instagram Ads,North America,92844,1423,982.58,108,6679.46,1.53,0.69,9.1,6.8,August 2025,Q3 2025
2025-08-20,Holiday Special,Instagram Ads,Europe,85672,2289,6482.04,164,4542.28,2.67,2.83,39.52,0.7,August 2025,Q3 2025
2025-08-20,Back to School,Google Ads,North America,47892,529,762.37,36,1003.27,1.1,1.44,21.18,1.32,August 2025,Q3 2025
2025-08-20,Back to School,Google Ads,Europe,30309,1308,2514.9,31,1814.7,4.32,1.92,81.13,0.72,August 2025,Q3 2025
2025-08-20,Back to School,Facebook Ads,North America,85880,2283,2701.97,53,2522.48,2.66,1.18,50.98,0.93,August 2025,Q3 2025
2025-08-20,Back to School,Facebook Ads,Europe,19860,990,1869.69,65,3121.53,4.98,1.89,28.76,1.67,August 2025,Q3 2025
2025-08-20,Back to School,Instagram Ads,North America,20916,842,1216.38,29,1114.61,4.03,1.44,41.94,0.92,August 2025,Q3 2025
2025-08-20,Back to School,Instagram Ads,Europe,63932,2189,2345.75,132,4911.61,3.42,1.07,17.77,2.09,August 2025,Q3 2025
2025-08-21,Summer Sale 2024,Google Ads,North America,46187,958,532.13,47,2714.47,2.07,0.56,11.32,5.1,August 2025,Q3 2025
2025-08-21,Summer Sale 2024,Google Ads,Europe,42049,1853,3483.21,99,4364.35,4.41,1.88,35.18,1.25,August 2025,Q3 2025
2025-08-21,Summer Sale 2024,Facebook Ads,North America,34285,1428,2820.14,69,4068.79,4.17,1.97,40.87,1.44,August 2025,Q3 2025
2025-08-21,Summer Sale 2024,Facebook Ads,Europe,87709,3347,3455.48,94,3863.48,3.82,1.03,36.76,1.12,August 2025,Q3 2025
2025-08-21,Summer Sale 2024,Instagram Ads,North America,88587,4360,8808.16,253,9187.49,4.92,2.02,34.81,1.04,August 2025,Q3 2025
2025-08-21,Summer Sale 2024,Instagram Ads,Europe,85745,2051,3660.98,137,6324.48,2.39,1.78,26.72,1.73,August 2025,Q3 2025
2025-08-21,Holiday Special,Google Ads,North America,80173,2796,7425.92,215,6012.73,3.49,2.66,34.54,0.81,August 2025,Q3 2025
2025-08-21,Holiday Special,Google Ads,Europe,83477,2479,3276.94,143,6355.57,2.97,1.32,22.92,1.94,August 2025,Q3 2025
2025-08-21,Holiday Special,Facebook Ads,North America,22015,520,958.44,24,656.61,2.36,1.84,39.94,0.69,August 2025,Q3 2025
2025-08-21,Holiday Special,Facebook Ads,Europe,32415,1155,1102.68,47,2819.95,3.56,0.95,23.46,2.56,August 2025,Q3 2025
2025-08-21,Holiday Special,Instagram Ads,North America,93807,2716,5890.72,82,3255.19,2.9,2.17,71.84,0.55,August 2025,Q3 2025
2025-08-21,Holiday Special,Instagram Ads,Europe,46668,526,984.56,27,1000.92,1.13,1.87,36.47,1.02,August 2025,Q3 2025
2025-08-21,Back to School,Google Ads,North America,26907,491,692.64,24,1055.53,1.82,1.41,28.86,1.52,August 2025,Q3 2025
2025-08-21,Back to School,Google Ads,Europe,20488,599,1329.46,30,1362.64,2.92,2.22,44.32,1.02,August 2025,Q3 2025
2025-08-21,Back to School,Facebook Ads,North America,29262,734,371.76,52,2434.38,2.51,0.51,7.15,6.55,August 2025,Q3 2025
2025-08-21,Back to School,Facebook Ads,Europe,97731,1795,2559.99,88,3277.8,1.84,1.43,29.09,1.28,August 2025,Q3 2025
2025-08-21,Back to School,Instagram Ads,North America,38699,958,1586.77,62,3147.47,2.48,1.66,25.59,1.98,August 2025,Q3 2025
2025-08-21,Back to School,Instagram Ads,Europe,94717,3787,2182.0,272,13086.6,4.0,0.58,8.02,6.0,August 2025,Q3 2025
2025-08-22,Summer Sale 2024,Google Ads,North America,98869,3095,3423.62,111,4787.54,3.13,1.11,30.84,1.4,August 2025,Q3 2025
2025-08-22,Summer Sale 2024,Google Ads,Europe,60448,1115,1470.4,30,1335.66,1.84,1.32,49.01,0.91,August 2025,Q3 2025
2025-08-22,Summer Sale 2024,Facebook Ads,North America,13596,458,1006.57,30,1087.81,3.37,2.2,33.55,1.08,August 2025,Q3 2025
2025-08-22,Summer Sale 2024,Facebook Ads,Europe,36069,1207,2852.86,55,2473.19,3.35,2.36,51.87,0.87,August 2025,Q3 2025
2025-08-22,Summer Sale 2024,Instagram Ads,North America,82274,2069,2779.94,153,4719.74,2.51,1.34,18.17,1.7,August 2025,Q3 2025
2025-08-22,Summer Sale 2024,Instagram Ads,Europe,86090,4258,8577.47,145,7388.33,4.95,2.01,59.15,0.86,August 2025,Q3 2025
2025-08-22,Holiday Special,Google Ads,North America,37285,708,1000.68,34,1801.14,1.9,1.41,29.43,1.8,August 2025,Q3 2025
2025-08-22,Holiday Special,Google Ads,Europe,97886,4178,4782.8,126,5852.96,4.27,1.14,37.96,1.22,August 2025,Q3 2025
2025-08-22,Holiday Special,Facebook Ads,North America,23234,995,2284.66,51,2928.41,4.28,2.3,44.8,1.28,August 2025,Q3 2025
2025-08-22,Holiday Special,Facebook Ads,Europe,16469,802,1826.46,25,1103.56,4.87,2.28,73.06,0.6,August 2025,Q3 2025
2025-08-22,Holiday Special,Instagram Ads,North America,55587,1094,861.08,61,3134.54,1.97,0.79,14.12,3.64,August 2025,Q3 2025
2025-08-22,Holiday Special,Instagram Ads,Europe,30618,1447,1883.42,80,2270.78,4.73,1.3,23.54,1.21,August 2025,Q3 2025
2025-08-22,Back to School,Google Ads,North America,69383,1066,701.89,84,4625.29,1.54,0.66,8.36,6.59,August 2025,Q3 2025
2025-08-22,Back to School,Google Ads,Europe,18512,287,145.45,7,274.62,1.55,0.51,20.78,1.89,August 2025,Q3 2025
2025-08-22,Back to School,Facebook Ads,North America,89767,3073,7638.63,81,4010.73,3.42,2.49,94.3,0.53,August 2025,Q3 2025
2025-08-22,Back to School,Facebook Ads,Europe,52929,792,1843.12,60,3086.28,1.5,2.33,30.72,1.67,August 2025,Q3 2025
2025-08-22,Back to School,Instagram Ads,North America,94555,2379,6699.56,150,7547.88,2.52,2.82,44.66,1.13,August 2025,Q3 2025
2025-08-22,Back to School,Instagram Ads,Europe,40523,670,610.15,46,2390.32,1.65,0.91,13.26,3.92,August 2025,Q3 2025
2025-08-23,Summer Sale 2024,Google Ads,North America,33930,1199,3320.83,46,2856.27,3.53,2.77,72.19,0.86,August 2025,Q3 2025
2025-08-23,Summer Sale 2024,Google Ads,Europe,69207,1907,2750.58,91,4845.66,2.76,1.44,30.23,1.76,August 2025,Q3 2025
2025-08-23,Summer Sale 2024,Facebook Ads,North America,82101,2593,4140.66,141,4638.19,3.16,1.6,29.37,1.12,August 2025,Q3 2025
2025-08-23,Summer Sale 2024,Facebook Ads,Europe,28381,359,385.05,18,519.59,1.26,1.07,21.39,1.35,August 2025,Q3 2025
2025-08-23,Summer Sale 2024,Instagram Ads,North America,51157,2434,5036.6,97,4693.34,4.76,2.07,51.92,0.93,August 2025,Q3 2025
2025-08-23,Summer Sale 2024,Instagram Ads,Europe,81324,2424,5705.25,131,5350.97,2.98,2.35,43.55,0.94,August 2025,Q3 2025
2025-08-23,Holiday Special,Google Ads,North America,61356,985,1260.12,34,2043.32,1.61,1.28,37.06,1.62,August 2025,Q3 2025
2025-08-23,Holiday Special,Google Ads,Europe,53872,760,1399.31,32,1568.65,1.41,1.84,43.73,1.12,August 2025,Q3 2025
2025-08-23,Holiday Special,Facebook Ads,North America,81895,2797,4910.75,146,2813.52,3.42,1.76,33.64,0.57,August 2025,Q3 2025
2025-08-23,Holiday Special,Facebook Ads,Europe,13756,533,1120.83,32,1316.63,3.87,2.1,35.03,1.17,August 2025,Q3 2025
2025-08-23,Holiday Special,Instagram Ads,North America,81315,1403,3887.89,77,2779.05,1.73,2.77,50.49,0.71,August 2025,Q3 2025
2025-08-23,Holiday Special,Instagram Ads,Europe,86077,2978,8277.74,84,1827.24,3.46,2.78,98.54,0.22,August 2025,Q3 2025
2025-08-23,Back to School,Google Ads,North America,27368,553,1280.33,30,1711.49,2.02,2.32,42.68,1.34,August 2025,Q3 2025
2025-08-23,Back to School,Google Ads,Europe,75310,2580,4025.64,165,8534.5,3.43,1.56,24.4,2.12,August 2025,Q3 2025
2025-08-23,Back to School,Facebook Ads,North America,54327,2369,6578.04,64,2478.45,4.36,2.78,102.78,0.38,August 2025,Q3 2025
2025-08-23,Back to School,Facebook Ads,Europe,57523,862,2415.41,62,2482.86,1.5,2.8,38.96,1.03,August 2025,Q3 2025
2025-08-23,Back to School,Instagram Ads,North America,47430,905,1827.86,38,1407.33,1.91,2.02,48.1,0.77,August 2025,Q3 2025
2025-08-23,Back to School,Instagram Ads,Europe,49224,501,668.21,21,1083.76,1.02,1.33,31.82,1.62,August 2025,Q3 2025
2025-08-24,Summer Sale 2024,Google Ads,North America,59688,2658,7462.07,127,6782.47,4.45,2.81,58.76,0.91,August 2025,Q3 2025
2025-08-24,Summer Sale 2024,Google Ads,Europe,16783,318,518.69,9,401.54,1.89,1.63,57.63,0.77,August 2025,Q3 2025
2025-08-24,Summer Sale 2024,Facebook Ads,North America,77526,1288,753.09,49,1853.03,1.66,0.58,15.37,2.46,August 2025,Q3 2025
2025-08-24,Summer Sale 2024,Facebook Ads,Europe,29097,306,660.61,9,486.53,1.05,2.16,73.4,0.74,August 2025,Q3 2025
2025-08-24,Summer Sale 2024,Instagram Ads,North America,56163,1592,3014.08,114,3602.82,2.83,1.89,26.44,1.2,August 2025,Q3 2025
2025-08-24,Summer Sale 2024,Instagram Ads,Europe,30806,1041,695.07,67,3114.76,3.38,0.67,10.37,4.48,August 2025,Q3 2025
2025-08-24,Holiday Special,Google Ads,North America,34442,1446,1986.03,69,2115.74,4.2,1.37,28.78,1.07,August 2025,Q3 2025
2025-08-24,Holiday Special,Google Ads,Europe,82847,2700,1793.53,179,10678.05,3.26,0.66,10.02,5.95,August 2025,Q3 2025
2025-08-24,Holiday Special,Facebook Ads,North America,58302,1813,3328.92,88,5360.71,3.11,1.84,37.83,1.61,August 2025,Q3 2025
2025-08-24,Holiday Special,Facebook Ads,Europe,75155,1298,3445.49,99,4437.26,1.73,2.65,34.8,1.29,August 2025,Q3 2025
2025-08-24,Holiday Special,Instagram Ads,North America,88623,1851,5078.36,95,5436.09,2.09,2.74,53.46,1.07,August 2025,Q3 2025
2025-08-24,Holiday Special,Instagram Ads,Europe,65106,1252,2729.02,26,604.68,1.92,2.18,104.96,0.22,August 2025,Q3 2025
2025-08-24,Back to School,Google Ads,North America,66373,1564,3008.52,114,7086.99,2.36,1.92,26.39,2.36,August 2025,Q3 2025
2025-08-24,Back to School,Google Ads,Europe,83506,1647,3797.43,117,5780.93,1.97,2.31,32.46,1.52,August 2025,Q3 2025
2025-08-24,Back to School,Facebook Ads,North America,94458,4581,13106.35,130,3648.75,4.85,2.86,100.82,0.28,August 2025,Q3 2025
2025-08-24,Back to School,Facebook Ads,Europe,57057,600,428.26,19,683.9,1.05,0.71,22.54,1.6,August 2025,Q3 2025
2025-08-24,Back to School,Instagram Ads,North America,63394,945,2543.1,55,2765.06,1.49,2.69,46.24,1.09,August 2025,Q3 2025
2025-08-24,Back to School,Instagram Ads,Europe,33236,786,902.77,33,1571.44,2.36,1.15,27.36,1.74,August 2025,Q3 2025
2025-08-25,Summer Sale 2024,Google Ads,North America,86918,1801,3710.73,80,1934.46,2.07,2.06,46.38,0.52,August 2025,Q3 2025
2025-08-25,Summer Sale 2024,Google Ads,Europe,17083,320,939.64,21,1301.26,1.87,2.94,44.74,1.38,August 2025,Q3 2025
2025-08-25,Summer Sale 2024,Facebook Ads,North America,55648,2489,4277.54,183,7620.64,4.47,1.72,23.37,1.78,August 2025,Q3 2025
2025-08-25,Summer Sale 2024,Facebook Ads,Europe,45954,1401,3298.26,86,5027.6,3.05,2.35,38.35,1.52,August 2025,Q3 2025
2025-08-25,Summer Sale 2024,Instagram Ads,North America,70774,1324,2797.13,59,3305.78,1.87,2.11,47.41,1.18,August 2025,Q3 2025
2025-08-25,Summer Sale 2024,Instagram Ads,Europe,66133,3079,2445.89,168,9494.39,4.66,0.79,14.56,3.88,August 2025,Q3 2025
2025-08-25,Holiday Special,Google Ads,North America,41653,528,798.93,26,1024.04,1.27,1.51,30.73,1.28,August 2025,Q3 2025
2025-08-25,Holiday Special,Google Ads,Europe,26725,413,1135.77,29,1396.12,1.55,2.75,39.16,1.23,August 2025,Q3 2025
2025-08-25,Holiday Special,Facebook Ads,North America,14263,285,593.58,14,796.06,2.0,2.08,42.4,1.34,August 2025,Q3 2025
2025-08-25,Holiday Special,Facebook Ads,Europe,99563,4065,6321.44,167,7944.42,4.08,1.56,37.85,1.26,August 2025,Q3 2025
2025-08-25,Holiday Special,Instagram Ads,North America,48709,1925,1360.97,108,4199.56,3.95,0.71,12.6,3.09,August 2025,Q3 2025
2025-08-25,Holiday Special,Instagram Ads,Europe,99599,4643,10696.69,262,8104.55,4.66,2.3,40.83,0.76,August 2025,Q3 2025
2025-08-25,Back to School,Google Ads,North America,38769,1002,2890.99,28,768.66,2.58,2.89,103.25,0.27,August 2025,Q3 2025
2025-08-25,Back to School,Google Ads,Europe,84478,1731,3440.7,39,1706.68,2.05,1.99,88.22,0.5,August 2025,Q3 2025
2025-08-25,Back to School,Facebook Ads,North America,34058,1153,1539.96,76,3393.41,3.39,1.34,20.26,2.2,August 2025,Q3 2025
2025-08-25,Back to School,Facebook Ads,Europe,84666,2872,4736.51,70,4389.56,3.39,1.65,67.66,0.93,August 2025,Q3 2025
